datetime,TinTrue,ToutF,u,y,w,s_plus,s_minus,z,solve_time_ms,fallback_flag
2025-07-01 08:20:00,73.669,85.022,1,0,0,0.0,0.0,0.331,100.08,0
2025-07-01 08:25:00,73.854,84.98,1,0,0,0.0,0.0,0.146,119.88,0
2025-07-01 08:30:00,73.855,84.87,1,0,0,0.0,0.0,0.145,119.36,0
2025-07-01 08:35:00,73.579,84.757,1,0,0,0.0,0.0,0.421,89.08,0
2025-07-01 08:40:00,73.867,84.709,1,0,0,0.0,0.0,0.133,114.0,0
2025-07-01 08:45:00,73.707,84.775,1,0,0,0.0,0.0,0.293,112.51,0
2025-07-01 08:50:00,74.005,84.972,1,0,0,0.0,0.0,0.005,89.45,0
2025-07-01 08:55:00,73.812,85.282,1,0,0,0.0,0.0,0.188,106.27,0
2025-07-01 09:00:00,74.044,85.657,1,0,0,0.0,0.0,0.044,119.09,0
2025-07-01 09:05:00,73.715,86.029,1,0,0,0.0,0.0,0.285,109.26,0
2025-07-01 09:10:00,73.738,86.331,1,0,0,0.0,0.0,0.262,83.83,0
2025-07-01 09:15:00,73.824,86.515,1,0,0,0.0,0.0,0.176,100.02,0
2025-07-01 09:20:00,73.934,86.561,1,0,0,0.0,0.0,0.066,98.49,0
2025-07-01 09:25:00,73.858,86.489,1,0,0,0.0,0.0,0.142,80.03,0
2025-07-01 09:30:00,73.585,86.347,1,0,0,0.0,0.0,0.415,119.56,0
2025-07-01 09:35:00,73.794,86.202,1,0,0,0.0,0.0,0.206,115.1,0
2025-07-01 09:40:00,73.766,86.12,1,0,0,0.0,0.0,0.234,88.69,0
2025-07-01 09:45:00,73.694,86.152,1,0,0,0.0,0.0,0.306,104.22,0
2025-07-01 09:50:00,73.658,86.314,1,0,0,0.0,0.0,0.342,98.88,0
2025-07-01 09:55:00,74.013,86.589,1,0,0,0.0,0.0,0.013,94.36,0
2025-07-01 10:00:00,73.688,86.928,1,0,0,0.0,0.0,0.312,101.17,0
2025-07-01 10:05:00,73.615,87.264,1,0,0,0.0,0.0,0.385,102.59,0
2025-07-01 10:10:00,73.833,87.529,1,0,0,0.0,0.0,0.167,113.34,0
2025-07-01 10:15:00,73.752,87.675,1,0,0,0.0,0.0,0.248,82.51,0
2025-07-01 10:20:00,73.716,87.683,1,0,0,0.0,0.0,0.284,104.25,0
2025-07-01 10:25:00,73.84,87.572,1,0,0,0.0,0.0,0.16,100.14,0
2025-07-01 10:30:00,73.791,87.391,1,0,0,0.0,0.0,0.209,86.41,0
2025-07-01 10:35:00,73.766,87.206,1,0,0,0.0,0.0,0.234,85.82,0
2025-07-01 10:40:00,73.851,87.085,1,0,0,0.0,0.0,0.149,105.51,0
2025-07-01 10:45:00,73.743,87.075,1,0,0,0.0,0.0,0.257,115.32,0
2025-07-01 10:50:00,73.602,87.197,1,0,0,0.0,0.0,0.398,81.31,0
2025-07-01 10:55:00,73.635,87.43,1,0,0,0.0,0.0,0.365,97.12,0
2025-07-01 11:00:00,73.605,87.727,1,0,0,0.0,0.0,0.395,115.12,0
2025-07-01 11:05:00,73.708,88.021,1,0,0,0.0,0.0,0.292,99.06,0
2025-07-01 11:10:00,73.509,88.243,1,0,0,0.0,0.0,0.491,94.7,0
2025-07-01 11:15:00,73.389,88.346,1,0,0,0.0,0.0,0.611,89.63,0
2025-07-01 11:20:00,73.67,88.311,1,0,0,0.0,0.0,0.33,81.93,0
2025-07-01 11:25:00,73.45,88.157,1,0,0,0.0,0.0,0.55,87.01,0
2025-07-01 11:30:00,73.351,87.932,1,0,0,0.0,0.0,0.649,102.27,0
2025-07-01 11:35:00,73.693,87.702,1,0,0,0.0,0.0,0.307,101.2,0
2025-07-01 11:40:00,73.523,87.537,1,0,0,0.0,0.0,0.477,101.77,0
2025-07-01 11:45:00,73.697,87.483,1,0,0,0.0,0.0,0.303,91.96,0
2025-07-01 11:50:00,73.535,87.559,1,0,0,0.0,0.0,0.465,114.62,0
2025-07-01 11:55:00,73.439,87.748,1,0,0,0.0,0.0,0.561,113.88,0
2025-07-01 12:00:00,73.413,88.0,1,0,0,0.0,0.0,0.587,98.63,0
2025-07-01 12:05:00,73.515,88.248,1,0,0,0.0,0.0,0.485,110.05,0
2025-07-01 12:10:00,73.544,88.425,1,0,0,0.0,0.0,0.456,111.34,0
2025-07-01 12:15:00,73.453,88.483,1,0,0,0.0,0.0,0.547,94.72,0
2025-07-01 12:20:00,73.527,88.403,1,0,0,0.0,0.0,0.473,87.09,0
2025-07-01 12:25:00,73.331,88.202,1,0,0,0.0,0.0,0.669,90.11,0
2025-07-01 12:30:00,73.555,87.932,1,0,0,0.0,0.0,0.445,89.48,0
2025-07-01 12:35:00,73.276,87.657,1,0,0,0.0,0.0,0.724,95.68,0
2025-07-01 12:40:00,73.508,87.445,1,0,0,0.0,0.0,0.492,80.29,0
2025-07-01 12:45:00,73.633,87.346,1,0,0,0.0,0.0,0.367,91.24,0
2025-07-01 12:50:00,73.684,87.377,1,0,0,0.0,0.0,0.316,101.48,0
2025-07-01 12:55:00,73.769,87.521,1,0,0,0.0,0.0,0.231,96.92,0
2025-07-01 13:00:00,73.27,87.727,1,0,0,0.0,0.0,0.73,101.27,0
2025-07-01 13:05:00,73.609,87.93,1,0,0,0.0,0.0,0.391,109.6,0
2025-07-01 13:10:00,73.668,88.063,1,0,0,0.0,0.0,0.332,117.25,0
2025-07-01 13:15:00,73.625,88.075,1,0,0,0.0,0.0,0.375,93.04,0
2025-07-01 13:20:00,73.33,87.951,1,0,0,0.0,0.0,0.67,90.82,0
2025-07-01 13:25:00,73.523,87.706,1,0,0,0.0,0.0,0.477,99.05,0
2025-07-01 13:30:00,73.731,87.391,1,0,0,0.0,0.0,0.269,104.38,0
2025-07-01 13:35:00,73.219,87.072,1,0,0,0.0,0.0,0.781,87.49,0
2025-07-01 13:40:00,73.506,86.817,1,0,0,0.0,0.0,0.494,81.12,0
2025-07-01 13:45:00,73.593,86.675,1,0,0,0.0,0.0,0.407,88.16,0
2025-07-01 13:50:00,73.313,86.663,1,0,0,0.0,0.0,0.687,89.8,0
2025-07-01 13:55:00,73.496,86.764,1,0,0,0.0,0.0,0.504,97.45,0
