timestamp,sigma
2025-01-13 15:40:00,24.08234597277313
2025-01-13 15:45:00,24.169213894019418
2025-01-13 15:50:00,24.25852879644701
2025-01-13 15:55:00,24.35025397533819
2025-01-13 16:00:00,24.444353276546007
2025-01-13 16:05:00,24.540791088235697
2025-01-13 16:10:00,24.63953233275005
2025-01-13 16:15:00,24.740542458596682
2025-01-13 16:20:00,24.84378743255562
2025-01-13 16:25:00,24.94923373190517
2025-01-13 16:30:00,25.056848336764478
2025-01-13 16:35:00,25.1665987225509
2025-01-13 16:40:00,25.278452852550526
2025-01-13 16:45:00,25.39237917060015
2025-01-13 16:50:00,25.50834659387904
2025-01-13 16:55:00,25.62632450580874
2025-01-13 17:00:00,25.746282749059493
2025-01-13 17:05:00,25.868191618661488
2025-01-13 17:10:00,25.99202185521945
